industry,founded_year,city,no_of_founders,funding_stage,previous_funding_amount,investment_type,market_size_category,target_funding_category,startup_age
Ai,2009,Pune,4,Series A,9.34,Angel,Large,Large,15
Saas,2015,Mumbai,3,Series A,14.62,Vc,Large,Large,9
Ai,2010,Hyderabad,1,Seed,13.66,Angel,Large,Large,14
Ai,2014,Hyderabad,1,Series A,12.41,Angel,Small,Large,10
E-Commerce,2009,Bangalore,4,Series B,12.8,Vc,Small,Large,15
E-Commerce,2020,Pune,1,Series B,15.26,Pe,Small,Large,4
E-Commerce,2014,Bangalore,3,Seed,3.61,Angel,Large,Medium,10
Fintech,2022,Delhi,1,Series B,19.53,Vc,Large,Large,2
Saas,2011,Delhi,3,Series A,11.0,Angel,Large,Large,13
Healthtech,2023,Pune,1,Series A,14.49,Vc,Medium,Large,1
Saas,2023,Pune,3,Seed,11.66,Vc,Small,Medium,1
E-Commerce,2017,Delhi,1,Series A,17.53,Pe,Small,Large,7
Fintech,2008,Bangalore,3,Seed,11.83,Vc,Small,Medium,16
Saas,2012,Mumbai,2,Series A,2.09,Angel,Medium,Small,12
Saas,2019,Delhi,2,Series A,17.5,Angel,Medium,Large,5
Ai,2021,Mumbai,2,Series A,2.23,Pe,Large,Medium,3
Saas,2019,Mumbai,1,Seed,10.53,Pe,Medium,Medium,5
Ai,2020,Bangalore,4,Seed,4.2,Vc,Medium,Small,4
Ai,2021,Hyderabad,4,Series A,2.6,Pe,Medium,Small,3
Edtech,2011,Pune,3,Series A,2.62,Pe,Large,Medium,13
E-Commerce,2015,Hyderabad,4,Seed,17.34,Angel,Large,Large,9
Fintech,2008,Chennai,1,Seed,7.05,Vc,Small,Small,16
Ai,2009,Hyderabad,3,Seed,7.19,Vc,Small,Medium,15
Saas,2012,Delhi,3,Series A,13.77,Angel,Large,Large,12
Ai,2017,Bangalore,1,Series B,16.67,Vc,Large,Large,7
Ai,2017,Mumbai,3,Series A,16.42,Vc,Medium,Large,7
Ai,2019,Bangalore,4,Series A,13.02,Vc,Large,Large,5
Healthtech,2020,Pune,2,Seed,14.41,Vc,Small,Medium,4
Healthtech,2009,Chennai,4,Series A,12.39,Vc,Small,Large,15
Healthtech,2018,Chennai,1,Series A,16.67,Pe,Large,Large,6
Healthtech,2023,Chennai,2,Series A,7.02,Pe,Large,Large,1
Edtech,2008,Mumbai,2,Seed,4.91,Pe,Small,Small,16
Ai,2013,Chennai,4,Seed,4.09,Vc,Medium,Small,11
Edtech,2019,Pune,2,Series A,12.15,Angel,Large,Large,5
Saas,2020,Chennai,4,Series B,4.89,Angel,Medium,Large,4
E-Commerce,2020,Chennai,4,Seed,2.77,Pe,Medium,Small,4
Fintech,2019,Pune,4,Seed,19.3,Angel,Large,Large,5
Edtech,2017,Pune,1,Series B,7.69,Angel,Large,Large,7
Healthtech,2011,Mumbai,2,Seed,17.9,Vc,Small,Large,13
Healthtech,2022,Chennai,1,Seed,14.15,Pe,Small,Medium,2
Saas,2023,Delhi,1,Series A,7.1,Angel,Small,Medium,1
Ai,2012,Bangalore,4,Series A,3.01,Vc,Large,Medium,12
Fintech,2010,Chennai,2,Seed,16.86,Pe,Medium,Large,14
Edtech,2022,Chennai,3,Series A,17.85,Pe,Large,Large,2
Ai,2017,Bangalore,3,Seed,3.82,Vc,Large,Medium,7
Ai,2023,Chennai,4,Seed,12.64,Vc,Medium,Large,1
E-Commerce,2013,Pune,4,Seed,11.35,Pe,Small,Medium,11
E-Commerce,2011,Chennai,1,Seed,18.58,Pe,Large,Large,13
Edtech,2020,Delhi,2,Seed,13.02,Vc,Small,Medium,4
Edtech,2013,Pune,4,Seed,5.56,Pe,Large,Medium,11
Edtech,2020,Hyderabad,1,Seed,14.37,Angel,Small,Medium,4
Edtech,2012,Mumbai,3,Seed,10.65,Vc,Medium,Medium,12
Healthtech,2018,Mumbai,1,Series A,7.08,Pe,Medium,Large,6
Ai,2009,Bangalore,1,Seed,12.23,Pe,Medium,Large,15
Ai,2011,Delhi,4,Series A,19.25,Angel,Small,Large,13
Healthtech,2009,Mumbai,4,Series A,16.39,Angel,Small,Large,15
Ai,2012,Bangalore,3,Series A,14.9,Vc,Small,Large,12
Edtech,2010,Bangalore,2,Series A,1.71,Vc,Large,Small,14
Fintech,2013,Bangalore,3,Series A,2.59,Pe,Large,Medium,11
E-Commerce,2022,Mumbai,2,Seed,12.32,Pe,Small,Medium,2
E-Commerce,2018,Hyderabad,2,Seed,0.83,Vc,Small,Small,6
Ai,2012,Bangalore,4,Series A,12.92,Pe,Small,Large,12
Fintech,2009,Chennai,3,Seed,6.18,Angel,Large,Medium,15
E-Commerce,2021,Hyderabad,1,Seed,3.39,Angel,Small,Small,3
Fintech,2017,Hyderabad,1,Seed,1.11,Angel,Large,Small,7
Healthtech,2018,Chennai,3,Series A,4.39,Pe,Small,Medium,6
Saas,2015,Mumbai,2,Series A,13.98,Pe,Medium,Large,9
Ai,2013,Mumbai,3,Series A,9.1,Pe,Large,Large,11
Healthtech,2016,Delhi,4,Seed,0.85,Vc,Medium,Small,8
Healthtech,2010,Mumbai,1,Series A,1.57,Pe,Large,Small,14
Fintech,2023,Delhi,1,Seed,11.76,Angel,Large,Large,1
Ai,2021,Bangalore,2,Seed,16.78,Pe,Medium,Large,3
Healthtech,2023,Mumbai,4,Series A,12.0,Vc,Large,Large,1
Edtech,2018,Mumbai,3,Series A,7.83,Pe,Small,Medium,6
Healthtech,2011,Chennai,4,Series A,8.84,Angel,Medium,Large,13
Edtech,2018,Bangalore,1,Seed,8.12,Angel,Medium,Medium,6
Saas,2015,Pune,4,Seed,17.96,Angel,Medium,Large,9
Edtech,2023,Pune,3,Seed,3.22,Angel,Large,Small,1
Edtech,2014,Delhi,3,Seed,7.76,Vc,Medium,Medium,10
Fintech,2015,Bangalore,3,Series A,6.3,Angel,Medium,Medium,9
Healthtech,2016,Pune,2,Seed,11.87,Pe,Large,Large,8
Saas,2021,Hyderabad,1,Series B,13.9,Pe,Large,Large,3
Healthtech,2015,Chennai,2,Seed,10.44,Vc,Medium,Medium,9
Edtech,2015,Hyderabad,1,Seed,19.83,Angel,Small,Large,9
E-Commerce,2023,Pune,1,Series A,5.23,Pe,Medium,Medium,1
Edtech,2013,Delhi,3,Series A,0.57,Pe,Large,Small,11
Healthtech,2018,Mumbai,3,Series A,14.52,Angel,Medium,Large,6
Saas,2009,Mumbai,1,Seed,5.05,Angel,Small,Small,15
E-Commerce,2019,Mumbai,3,Series B,19.42,Angel,Medium,Large,5
Saas,2014,Delhi,3,Series A,16.11,Angel,Large,Large,10
Fintech,2011,Hyderabad,3,Series A,12.6,Angel,Medium,Large,13
Edtech,2010,Delhi,4,Seed,14.15,Pe,Small,Medium,14
Edtech,2011,Delhi,2,Seed,16.03,Angel,Large,Large,13
Fintech,2011,Hyderabad,4,Series A,13.75,Angel,Medium,Large,13
Healthtech,2010,Pune,4,Series A,6.42,Pe,Medium,Medium,14
Edtech,2016,Mumbai,2,Series A,10.23,Angel,Small,Large,8
Healthtech,2021,Chennai,4,Series A,6.42,Pe,Medium,Medium,3
Saas,2010,Delhi,1,Seed,14.11,Vc,Medium,Large,14
E-Commerce,2009,Delhi,3,Seed,0.37,Vc,Small,Small,15
E-Commerce,2020,Hyderabad,4,Series A,7.83,Vc,Small,Medium,4
E-Commerce,2008,Pune,4,Series A,3.34,Vc,Medium,Medium,16
Ai,2018,Chennai,3,Seed,19.0,Angel,Small,Large,6
Fintech,2008,Delhi,3,Series A,14.44,Pe,Small,Large,16
E-Commerce,2012,Bangalore,2,Seed,10.17,Angel,Large,Large,12
Edtech,2019,Chennai,1,Series A,4.99,Angel,Medium,Medium,5
Fintech,2019,Delhi,3,Seed,0.58,Vc,Large,Small,5
Saas,2012,Chennai,4,Seed,15.16,Pe,Medium,Large,12
Saas,2019,Pune,2,Seed,10.03,Vc,Large,Large,5
Saas,2016,Bangalore,2,Series A,1.97,Vc,Small,Small,8
Saas,2011,Bangalore,3,Series A,11.59,Pe,Large,Large,13
Ai,2012,Chennai,4,Series A,0.99,Vc,Small,Small,12
Healthtech,2020,Mumbai,3,Seed,8.78,Pe,Medium,Medium,4
Healthtech,2013,Chennai,2,Series A,8.91,Pe,Medium,Large,11
E-Commerce,2020,Hyderabad,4,Series A,17.3,Pe,Large,Large,4
Ai,2017,Mumbai,4,Seed,19.75,Pe,Small,Large,7
Healthtech,2014,Pune,2,Series B,3.05,Vc,Large,Medium,10
Saas,2016,Bangalore,1,Seed,14.1,Angel,Large,Large,8
Healthtech,2020,Mumbai,4,Series B,17.46,Angel,Small,Large,4
Fintech,2013,Bangalore,2,Series A,8.72,Vc,Large,Large,11
E-Commerce,2008,Bangalore,4,Series A,6.67,Vc,Medium,Medium,16
Healthtech,2015,Bangalore,4,Seed,0.6,Vc,Large,Small,9
Fintech,2021,Hyderabad,2,Series A,11.36,Pe,Medium,Large,3
Edtech,2009,Hyderabad,4,Series A,3.77,Vc,Large,Medium,15
Fintech,2023,Delhi,1,Seed,1.67,Vc,Large,Small,1
Fintech,2016,Pune,2,Seed,0.28,Angel,Small,Small,8
Saas,2018,Hyderabad,2,Seed,19.23,Vc,Large,Large,6
Saas,2014,Pune,4,Seed,17.19,Vc,Small,Large,10
E-Commerce,2014,Bangalore,1,Seed,19.25,Pe,Large,Large,10
Saas,2017,Pune,1,Series A,18.85,Angel,Large,Large,7
Fintech,2017,Chennai,3,Seed,12.58,Pe,Medium,Large,7
Ai,2019,Pune,2,Series A,12.2,Angel,Small,Large,5
Saas,2012,Mumbai,4,Seed,16.97,Vc,Small,Medium,12
Saas,2015,Chennai,4,Series B,18.94,Vc,Medium,Large,9
Fintech,2017,Bangalore,3,Series A,11.87,Pe,Large,Large,7
Edtech,2022,Chennai,4,Series B,2.57,Angel,Medium,Medium,2
Edtech,2008,Mumbai,1,Series B,2.81,Pe,Small,Small,16
Healthtech,2010,Delhi,2,Series B,13.27,Pe,Large,Large,14
E-Commerce,2016,Delhi,1,Seed,1.8,Angel,Medium,Small,8
Edtech,2022,Pune,2,Series A,12.31,Angel,Large,Large,2
Saas,2008,Pune,3,Seed,19.29,Pe,Medium,Large,16
Ai,2018,Hyderabad,2,Seed,0.27,Pe,Small,Small,6
Healthtech,2015,Chennai,1,Seed,3.88,Pe,Small,Small,9
E-Commerce,2013,Hyderabad,4,Seed,18.9,Angel,Small,Large,11
Ai,2019,Hyderabad,2,Seed,9.88,Vc,Medium,Medium,5
Ai,2022,Chennai,3,Series A,5.88,Pe,Large,Large,2
Saas,2020,Chennai,3,Seed,5.13,Pe,Large,Medium,4
Fintech,2023,Mumbai,4,Series A,17.31,Vc,Large,Large,1
Fintech,2022,Chennai,3,Series A,8.71,Pe,Small,Medium,2
Fintech,2017,Chennai,1,Seed,12.79,Pe,Large,Large,7
Edtech,2012,Pune,2,Seed,6.34,Pe,Medium,Medium,12
Fintech,2019,Hyderabad,2,Series B,10.99,Vc,Medium,Large,5
E-Commerce,2013,Delhi,1,Series B,15.96,Vc,Medium,Large,11
Saas,2018,Bangalore,3,Seed,6.9,Pe,Large,Medium,6
Edtech,2012,Delhi,1,Seed,8.08,Pe,Medium,Medium,12
E-Commerce,2022,Chennai,2,Series B,8.98,Vc,Medium,Large,2
Fintech,2016,Bangalore,2,Seed,12.06,Vc,Medium,Large,8
E-Commerce,2009,Chennai,2,Seed,6.22,Vc,Medium,Medium,15
Ai,2017,Pune,2,Seed,9.03,Pe,Small,Medium,7
Saas,2013,Mumbai,4,Seed,11.05,Pe,Small,Medium,11
Saas,2019,Chennai,2,Series A,7.22,Pe,Medium,Large,5
E-Commerce,2011,Bangalore,3,Series A,0.34,Pe,Medium,Small,13
Healthtech,2023,Pune,1,Seed,5.54,Pe,Large,Medium,1
Saas,2010,Mumbai,3,Series B,16.36,Pe,Large,Large,14
Ai,2019,Pune,2,Series A,5.81,Angel,Large,Large,5
Saas,2012,Bangalore,3,Seed,16.48,Angel,Medium,Large,12
Healthtech,2009,Mumbai,4,Series A,8.3,Vc,Small,Medium,15
Saas,2010,Hyderabad,1,Series A,17.35,Pe,Large,Large,14
Saas,2014,Bangalore,2,Series B,7.63,Vc,Large,Large,10
Healthtech,2019,Hyderabad,3,Series A,5.99,Vc,Small,Medium,5
Saas,2008,Pune,4,Series A,4.9,Vc,Small,Medium,16
E-Commerce,2009,Hyderabad,4,Seed,6.19,Vc,Small,Small,15
Edtech,2010,Chennai,4,Series B,4.13,Vc,Large,Large,14
E-Commerce,2017,Delhi,1,Series A,15.06,Pe,Small,Large,7
Saas,2020,Mumbai,3,Seed,19.64,Pe,Medium,Large,4
Fintech,2021,Bangalore,3,Seed,8.07,Angel,Small,Medium,3
Fintech,2019,Pune,1,Series A,6.8,Vc,Large,Large,5
Edtech,2021,Hyderabad,4,Series A,12.82,Pe,Medium,Large,3
Saas,2014,Pune,2,Seed,8.72,Pe,Large,Large,10
Ai,2011,Chennai,3,Seed,1.15,Vc,Small,Small,13
Saas,2019,Bangalore,2,Series A,7.02,Pe,Small,Medium,5
Fintech,2015,Pune,4,Series A,16.04,Angel,Small,Large,9
Healthtech,2015,Chennai,1,Series A,1.56,Angel,Small,Small,9
Edtech,2022,Bangalore,2,Seed,5.32,Vc,Large,Medium,2
Healthtech,2008,Chennai,3,Seed,19.5,Pe,Small,Large,16
Ai,2012,Chennai,3,Seed,5.81,Pe,Large,Medium,12
Saas,2023,Delhi,1,Seed,17.06,Vc,Medium,Large,1
Ai,2008,Hyderabad,4,Series A,18.0,Pe,Small,Large,16
Healthtech,2022,Mumbai,3,Series A,13.7,Pe,Large,Large,2
Saas,2020,Mumbai,3,Seed,9.59,Vc,Large,Large,4
E-Commerce,2020,Bangalore,1,Seed,19.12,Pe,Small,Large,4
E-Commerce,2014,Bangalore,2,Series B,19.28,Pe,Large,Large,10
Ai,2020,Pune,4,Series A,12.8,Angel,Medium,Large,4
E-Commerce,2011,Pune,2,Seed,14.96,Angel,Small,Medium,13
E-Commerce,2023,Delhi,4,Series A,17.64,Pe,Large,Large,1
Fintech,2022,Bangalore,2,Series A,2.32,Pe,Medium,Small,2
E-Commerce,2019,Mumbai,2,Seed,11.39,Pe,Large,Large,5
Fintech,2015,Hyderabad,3,Series A,17.3,Vc,Large,Large,9
Edtech,2023,Delhi,2,Series B,18.28,Pe,Small,Large,1
Fintech,2019,Bangalore,4,Seed,19.99,Angel,Large,Large,5
Fintech,2015,Delhi,1,Seed,14.71,Pe,Medium,Large,9
Healthtech,2016,Delhi,1,Seed,4.34,Pe,Medium,Small,8
Fintech,2018,Delhi,2,Seed,12.76,Pe,Medium,Large,6
Fintech,2013,Bangalore,4,Seed,19.79,Pe,Small,Large,11
Healthtech,2014,Chennai,4,Seed,11.83,Angel,Small,Medium,10
Fintech,2022,Bangalore,3,Seed,7.84,Angel,Large,Medium,2
E-Commerce,2014,Bangalore,1,Seed,5.57,Pe,Small,Small,10
Fintech,2012,Pune,1,Seed,7.11,Angel,Medium,Medium,12
Edtech,2014,Bangalore,3,Series A,14.77,Vc,Medium,Large,10
Fintech,2022,Bangalore,1,Series A,4.37,Vc,Large,Medium,2
Fintech,2016,Bangalore,4,Seed,12.89,Angel,Small,Medium,8
Edtech,2019,Delhi,2,Series A,12.61,Vc,Small,Large,5
Healthtech,2021,Delhi,2,Seed,5.43,Angel,Small,Small,3
E-Commerce,2019,Bangalore,4,Seed,10.18,Vc,Medium,Medium,5
Fintech,2018,Pune,2,Seed,17.36,Pe,Large,Large,6
E-Commerce,2011,Hyderabad,3,Series B,15.95,Angel,Medium,Large,13
Ai,2020,Pune,1,Series A,11.81,Angel,Small,Large,4
E-Commerce,2009,Hyderabad,1,Series A,13.41,Angel,Medium,Large,15
Healthtech,2015,Chennai,3,Series B,0.89,Vc,Large,Small,9
Healthtech,2014,Hyderabad,2,Seed,1.97,Pe,Large,Small,10
Fintech,2013,Mumbai,2,Seed,7.62,Pe,Large,Medium,11
Edtech,2014,Mumbai,3,Series A,7.8,Vc,Small,Medium,10
Healthtech,2019,Hyderabad,4,Series A,6.1,Vc,Large,Large,5
Edtech,2023,Bangalore,1,Series A,13.08,Pe,Large,Large,1
Ai,2010,Hyderabad,2,Seed,12.22,Angel,Medium,Large,14
Edtech,2013,Mumbai,2,Seed,13.75,Vc,Large,Large,11
Saas,2017,Hyderabad,4,Series A,4.77,Vc,Medium,Medium,7
Edtech,2021,Delhi,1,Series A,0.25,Pe,Large,Small,3
Healthtech,2023,Chennai,2,Series A,19.35,Vc,Medium,Large,1
Edtech,2023,Delhi,4,Series A,15.5,Vc,Medium,Large,1
Edtech,2014,Pune,1,Series B,9.25,Pe,Small,Large,10
Saas,2014,Delhi,4,Series A,1.07,Pe,Small,Small,10
Saas,2020,Chennai,1,Series B,4.14,Vc,Small,Medium,4
Fintech,2020,Bangalore,2,Seed,1.25,Angel,Medium,Small,4
Healthtech,2012,Chennai,2,Series B,9.65,Vc,Medium,Large,12
Fintech,2010,Bangalore,1,Series A,4.5,Angel,Medium,Medium,14
Saas,2009,Mumbai,4,Seed,10.86,Pe,Medium,Medium,15
Edtech,2020,Hyderabad,3,Series A,1.43,Pe,Medium,Small,4
Saas,2014,Mumbai,3,Seed,14.27,Pe,Small,Medium,10
Ai,2011,Mumbai,4,Seed,2.19,Pe,Large,Small,13
Edtech,2009,Mumbai,2,Seed,6.33,Angel,Small,Small,15
Fintech,2020,Hyderabad,1,Series B,12.97,Vc,Medium,Large,4
Edtech,2015,Bangalore,4,Series B,2.33,Pe,Large,Medium,9
Ai,2009,Chennai,1,Seed,19.58,Pe,Small,Large,15
Saas,2013,Bangalore,1,Series B,3.99,Pe,Small,Medium,11
Healthtech,2011,Bangalore,3,Seed,0.91,Pe,Medium,Small,13
E-Commerce,2016,Delhi,2,Seed,13.44,Angel,Medium,Large,8
Healthtech,2012,Hyderabad,2,Series B,7.75,Angel,Small,Large,12
Healthtech,2023,Bangalore,3,Series B,19.35,Vc,Large,Large,1
Saas,2011,Bangalore,4,Series A,1.93,Angel,Small,Small,13
Healthtech,2015,Mumbai,1,Series A,7.23,Vc,Large,Large,9
Ai,2010,Pune,3,Seed,11.95,Pe,Medium,Medium,14
Saas,2021,Delhi,3,Seed,10.98,Pe,Small,Medium,3
Healthtech,2020,Chennai,2,Series B,9.86,Vc,Large,Large,4
E-Commerce,2016,Pune,4,Seed,7.8,Pe,Small,Medium,8
Fintech,2015,Delhi,3,Seed,16.73,Vc,Medium,Large,9
Saas,2021,Mumbai,1,Series A,2.93,Angel,Medium,Small,3
Saas,2019,Mumbai,3,Series A,10.13,Vc,Large,Large,5
Edtech,2021,Mumbai,1,Seed,11.53,Angel,Large,Large,3
Healthtech,2019,Hyderabad,4,Seed,17.72,Pe,Small,Large,5
Fintech,2015,Pune,3,Seed,5.79,Angel,Small,Small,9
E-Commerce,2017,Mumbai,1,Seed,5.62,Angel,Medium,Medium,7
Ai,2012,Bangalore,2,Series A,16.24,Vc,Small,Large,12
Saas,2008,Hyderabad,2,Seed,5.68,Pe,Large,Medium,16
Ai,2018,Mumbai,3,Series A,1.27,Vc,Small,Small,6
Ai,2017,Hyderabad,2,Seed,10.54,Vc,Small,Medium,7
Ai,2020,Bangalore,3,Seed,15.23,Pe,Large,Large,4
Edtech,2016,Mumbai,1,Seed,3.24,Angel,Medium,Small,8
Ai,2009,Pune,1,Seed,15.29,Pe,Small,Medium,15
Healthtech,2008,Mumbai,4,Series A,7.22,Pe,Medium,Large,16
Healthtech,2013,Bangalore,2,Series A,18.98,Angel,Medium,Large,11
Fintech,2008,Mumbai,4,Seed,1.92,Pe,Medium,Small,16
Fintech,2023,Bangalore,3,Seed,6.44,Vc,Small,Small,1
E-Commerce,2017,Mumbai,1,Series A,4.36,Vc,Large,Medium,7
Ai,2017,Mumbai,3,Series A,17.96,Angel,Small,Large,7
Ai,2020,Delhi,4,Seed,5.73,Vc,Large,Medium,4
Edtech,2017,Hyderabad,2,Seed,5.46,Vc,Medium,Medium,7
Ai,2022,Chennai,3,Seed,14.15,Vc,Medium,Large,2
Ai,2014,Delhi,4,Seed,18.99,Vc,Medium,Large,10
Ai,2021,Delhi,2,Seed,11.89,Angel,Medium,Medium,3
Saas,2014,Hyderabad,3,Seed,18.85,Angel,Large,Large,10
Saas,2020,Delhi,4,Series A,13.23,Angel,Medium,Large,4
Edtech,2008,Bangalore,4,Series B,4.1,Angel,Small,Medium,16
Edtech,2017,Delhi,2,Seed,14.94,Vc,Small,Medium,7
Healthtech,2020,Chennai,3,Series A,6.07,Vc,Large,Large,4
Edtech,2012,Bangalore,3,Seed,6.31,Pe,Small,Small,12
E-Commerce,2010,Pune,4,Seed,16.21,Angel,Large,Large,14
Healthtech,2020,Hyderabad,3,Series A,5.32,Angel,Large,Large,4
Ai,2020,Hyderabad,2,Series A,6.8,Angel,Large,Large,4
Edtech,2018,Hyderabad,4,Seed,19.75,Pe,Medium,Large,6
E-Commerce,2019,Bangalore,4,Series B,3.57,Angel,Small,Medium,5
Edtech,2021,Hyderabad,3,Series A,12.72,Vc,Large,Large,3
Edtech,2009,Hyderabad,4,Seed,8.01,Vc,Small,Medium,15
Healthtech,2023,Chennai,2,Series A,6.53,Vc,Small,Medium,1
Healthtech,2018,Mumbai,1,Seed,2.83,Pe,Small,Small,6
Fintech,2022,Pune,4,Series A,10.74,Angel,Medium,Large,2
Healthtech,2012,Mumbai,3,Seed,11.48,Vc,Large,Large,12
Healthtech,2012,Mumbai,3,Seed,13.82,Angel,Large,Large,12
Saas,2009,Hyderabad,2,Series A,15.8,Vc,Medium,Large,15
Edtech,2013,Bangalore,3,Series A,8.37,Pe,Medium,Large,11
Healthtech,2014,Hyderabad,3,Series A,10.86,Pe,Small,Large,10
Edtech,2008,Mumbai,1,Seed,1.49,Vc,Medium,Small,16
Edtech,2010,Chennai,4,Seed,8.46,Vc,Medium,Medium,14
Saas,2011,Hyderabad,3,Series B,2.81,Vc,Large,Medium,13
Edtech,2009,Hyderabad,3,Series A,0.21,Vc,Large,Small,15
E-Commerce,2017,Hyderabad,1,Seed,1.38,Angel,Small,Small,7
Healthtech,2018,Bangalore,4,Series A,0.69,Vc,Medium,Small,6
Edtech,2012,Chennai,2,Seed,7.97,Vc,Medium,Medium,12
Fintech,2020,Chennai,1,Series A,7.81,Angel,Small,Medium,4
Fintech,2023,Chennai,1,Seed,4.14,Pe,Small,Small,1
Saas,2023,Chennai,3,Seed,9.41,Pe,Small,Medium,1
E-Commerce,2011,Mumbai,3,Series A,1.77,Pe,Medium,Small,13
Healthtech,2018,Hyderabad,2,Seed,5.98,Vc,Large,Medium,6
Saas,2009,Pune,2,Series A,1.1,Vc,Small,Small,15
Fintech,2022,Chennai,2,Series A,0.33,Vc,Small,Small,2
E-Commerce,2018,Delhi,1,Seed,11.82,Vc,Small,Medium,6
Healthtech,2008,Delhi,1,Series B,14.4,Vc,Small,Large,16
Edtech,2015,Pune,1,Series A,5.32,Pe,Large,Large,9
Healthtech,2009,Mumbai,2,Seed,13.92,Angel,Medium,Large,15
Ai,2011,Delhi,4,Seed,12.63,Angel,Small,Medium,13
Healthtech,2019,Delhi,2,Seed,15.56,Vc,Large,Large,5
Edtech,2023,Delhi,3,Seed,4.27,Vc,Small,Small,1
Ai,2017,Mumbai,1,Seed,9.72,Pe,Small,Medium,7
E-Commerce,2012,Hyderabad,3,Seed,4.38,Vc,Medium,Small,12
Saas,2009,Mumbai,2,Seed,17.44,Pe,Large,Large,15
E-Commerce,2017,Bangalore,3,Seed,12.98,Angel,Medium,Large,7
Healthtech,2016,Bangalore,1,Seed,1.89,Angel,Medium,Small,8
Saas,2009,Delhi,4,Seed,7.44,Angel,Large,Medium,15
Healthtech,2013,Delhi,4,Series A,0.96,Angel,Medium,Small,11
Fintech,2014,Hyderabad,2,Seed,19.7,Vc,Small,Large,10
Fintech,2013,Pune,4,Seed,16.5,Pe,Large,Large,11
Edtech,2018,Delhi,1,Series A,7.19,Angel,Large,Large,6
E-Commerce,2018,Bangalore,2,Series B,7.81,Vc,Medium,Large,6
Fintech,2022,Delhi,1,Seed,7.52,Pe,Medium,Medium,2
Ai,2019,Hyderabad,3,Series A,13.22,Vc,Medium,Large,5
Ai,2020,Bangalore,2,Seed,7.09,Pe,Small,Small,4
Healthtech,2011,Delhi,4,Seed,4.41,Pe,Medium,Small,13
Saas,2008,Hyderabad,1,Seed,5.51,Vc,Large,Medium,16
Ai,2009,Hyderabad,2,Series A,15.95,Vc,Small,Large,15
Healthtech,2022,Bangalore,2,Series B,2.24,Angel,Small,Small,2
Saas,2019,Bangalore,4,Seed,8.72,Angel,Medium,Medium,5
Fintech,2017,Pune,1,Seed,8.04,Pe,Medium,Medium,7
Healthtech,2019,Bangalore,3,Seed,11.23,Pe,Large,Large,5
Saas,2017,Hyderabad,4,Series B,1.4,Angel,Large,Medium,7
Edtech,2019,Bangalore,2,Series A,0.86,Pe,Large,Small,5
E-Commerce,2021,Bangalore,1,Seed,13.95,Angel,Large,Large,3
E-Commerce,2013,Hyderabad,2,Seed,10.56,Vc,Large,Large,11
Edtech,2015,Pune,4,Seed,2.6,Angel,Large,Small,9
Ai,2021,Hyderabad,3,Seed,7.83,Vc,Medium,Medium,3
E-Commerce,2022,Bangalore,3,Series B,10.57,Pe,Large,Large,2
Saas,2010,Bangalore,1,Series B,7.19,Vc,Small,Large,14
Edtech,2014,Bangalore,3,Seed,2.46,Pe,Small,Small,10
Ai,2022,Pune,2,Seed,3.18,Vc,Small,Small,2
Healthtech,2016,Hyderabad,3,Seed,5.06,Pe,Medium,Medium,8
Healthtech,2011,Chennai,3,Seed,0.22,Pe,Small,Small,13
Saas,2018,Mumbai,3,Series B,14.63,Angel,Small,Large,6
Saas,2014,Delhi,2,Series B,13.79,Pe,Large,Large,10
Saas,2014,Mumbai,3,Series A,17.65,Vc,Medium,Large,10
E-Commerce,2020,Pune,2,Series B,2.47,Pe,Large,Medium,4
Saas,2019,Hyderabad,1,Series A,12.39,Vc,Small,Large,5
Edtech,2017,Chennai,2,Seed,14.5,Pe,Medium,Large,7
Edtech,2016,Pune,2,Series A,12.22,Pe,Small,Large,8
Ai,2010,Hyderabad,1,Series A,7.24,Angel,Small,Medium,14
Edtech,2018,Bangalore,3,Series A,6.66,Pe,Medium,Medium,6
E-Commerce,2008,Pune,3,Series A,2.94,Angel,Large,Medium,16
Healthtech,2015,Delhi,1,Series A,19.43,Pe,Small,Large,9
Ai,2011,Mumbai,3,Seed,2.4,Pe,Large,Small,13
Edtech,2009,Hyderabad,3,Series B,13.71,Vc,Large,Large,15
Saas,2012,Chennai,1,Seed,17.73,Pe,Small,Large,12
Edtech,2011,Bangalore,3,Series A,18.02,Pe,Medium,Large,13
Fintech,2008,Chennai,4,Series A,18.5,Angel,Small,Large,16
Ai,2023,Delhi,1,Seed,13.26,Vc,Large,Large,1
E-Commerce,2019,Chennai,3,Seed,2.78,Vc,Large,Small,5
Edtech,2014,Chennai,3,Seed,10.5,Vc,Medium,Medium,10
Edtech,2011,Bangalore,3,Series B,8.88,Pe,Small,Large,13
E-Commerce,2015,Chennai,4,Series A,13.5,Pe,Large,Large,9
Healthtech,2016,Bangalore,3,Seed,9.28,Vc,Small,Medium,8
Saas,2023,Delhi,1,Series B,16.48,Vc,Medium,Large,1
Saas,2015,Hyderabad,4,Seed,8.36,Vc,Medium,Medium,9
Healthtech,2008,Bangalore,2,Series A,15.12,Vc,Large,Large,16
Healthtech,2015,Pune,2,Seed,19.04,Pe,Large,Large,9
Fintech,2012,Pune,1,Seed,14.59,Angel,Medium,Large,12
E-Commerce,2008,Hyderabad,1,Series A,15.3,Angel,Small,Large,16
Ai,2016,Mumbai,3,Seed,14.28,Vc,Small,Medium,8
